"filename", "language", "C++", "comment", "blank", "total"
"/Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/include/gameDataContext.h", "C++", 12, 0, 5, 17
"/Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/include/gameDataInput.h", "C++", 10, 0, 5, 15
"/Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/include/graphics.h", "C++", 19, 2, 6, 27
"/Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/include/rev_lights.h", "C++", 20, 3, 9, 32
"Total", "-", 61, 5, 25, 91
