Date : 2023-12-12 13:15:54
Directory : /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/src
Total : 199 files,  -27212 codes, -9800 comments, -6859 blanks, all -43871 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/lib8tion/random8.h                                                  | C++                |        -59 |        -41 |        -19 |       -119 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/lib8tion/scale8.h                                                   | C++                |       -447 |       -269 |        -63 |       -779 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/lib8tion/trig8.h                                                    | C++                |       -134 |        -79 |        -56 |       -269 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/noise.cpp                                                           | C++                |       -604 |       -115 |       -139 |       -858 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/noise.h                                                             | C++                |        -38 |       -140 |        -51 |       -229 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/pixelset.h                                                          | C++                |       -179 |       -166 |        -73 |       -418 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/pixeltypes.h                                                        | C++                |       -668 |       -195 |       -106 |       -969 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms.cpp                                                       | C++                |        -24 |        -10 |        -11 |        -45 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms.h                                                         | C++                |        -38 |         -9 |         -6 |        -53 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/apollo3/clockless_apollo3.h                               | C++                |        -87 |        -60 |        -38 |       -185 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/apollo3/fastled_apollo3.h                                 | C++                |         -6 |          0 |         -3 |         -9 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/apollo3/fastpin_apollo3.h                                 | C++                |       -113 |         -3 |        -38 |       -154 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/apollo3/fastspi_apollo3.h                                 | C++                |        -86 |        -20 |        -29 |       -135 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/apollo3/led_sysdefs_apollo3.h                             | C++                |        -24 |         -5 |        -11 |        -40 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/arm/common/m0clockless.h                                  | C++                |       -303 |        -50 |        -37 |       -390 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/arm/d21/clockless_arm_d21.h                               | C++                |        -47 |         -2 |        -13 |        -62 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/arm/d21/fastled_arm_d21.h                                 | C++                |         -5 |          0 |         -3 |         -8 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/arm/d21/fastpin_arm_d21.h                                 | C++                |       -189 |        -12 |        -73 |       -274 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/arm/d21/led_sysdefs_arm_d21.h                             | C++                |        -16 |         -2 |         -9 |        -27 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/arm/d51/clockless_arm_d51.h                               | C++                |        -95 |        -10 |        -24 |       -129 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/arm/d51/fastled_arm_d51.h                                 | C++                |         -6 |          0 |         -3 |         -9 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/arm/d51/fastpin_arm_d51.h                                 | C++                |       -147 |        -39 |        -52 |       -238 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/arm/d51/led_sysdefs_arm_d51.h                             | C++                |        -15 |         -2 |         -9 |        -26 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/arm/k20/clockless_arm_k20.h                               | C++                |        -92 |        -10 |        -23 |       -125 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/arm/k20/clockless_block_arm_k20.h                         | C++                |       -244 |        -26 |        -63 |       -333 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/arm/k20/fastled_arm_k20.h                                 | C++                |        -10 |         -1 |         -3 |        -14 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/arm/k20/fastpin_arm_k20.h                                 | C++                |        -82 |         -8 |        -31 |       -121 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/arm/k20/fastspi_arm_k20.h                                 | C++                |       -328 |        -58 |        -81 |       -467 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/arm/k20/led_sysdefs_arm_k20.h                             | C++                |        -28 |         -6 |        -13 |        -47 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/arm/k20/octows2811_controller.h                           | C++                |        -47 |         -1 |        -19 |        -67 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/arm/k20/smartmatrix_t3.h                                  | C++                |        -40 |         -4 |        -11 |        -55 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/arm/k20/ws2812serial_controller.h                         | C++                |        -35 |          0 |        -13 |        -48 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/arm/k66/clockless_arm_k66.h                               | C++                |        -92 |        -10 |        -23 |       -125 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/arm/k66/clockless_block_arm_k66.h                         | C++                |       -260 |        -26 |        -62 |       -348 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/arm/k66/fastled_arm_k66.h                                 | C++                |        -10 |         -1 |         -4 |        -15 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/arm/k66/fastpin_arm_k66.h                                 | C++                |        -88 |         -8 |        -33 |       -129 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/arm/k66/fastspi_arm_k66.h                                 | C++                |       -324 |        -65 |        -82 |       -471 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/arm/k66/led_sysdefs_arm_k66.h                             | C++                |        -28 |         -6 |        -13 |        -47 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/arm/kl26/clockless_arm_kl26.h                             | C++                |        -50 |         -3 |        -13 |        -66 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/arm/kl26/fastled_arm_kl26.h                               | C++                |         -7 |         -1 |         -3 |        -11 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/arm/kl26/fastpin_arm_kl26.h                               | C++                |        -56 |         -9 |        -24 |        -89 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/arm/kl26/fastspi_arm_kl26.h                               | C++                |       -200 |        -16 |        -37 |       -253 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/arm/kl26/led_sysdefs_arm_kl26.h                           | C++                |        -29 |         -7 |        -12 |        -48 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/arm/mxrt1062/block_clockless_arm_mxrt1062.h               | C++                |       -162 |        -16 |        -37 |       -215 |
